,DataRiferimento,Documento_Numero,Quantita,Origine,Catalogo,Gruppo,Famiglia,Codice_Hidros,Descrizione,ImportoNetto,Prodotto_Costoattuale
3921,2019-01-08,000094C,1.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Rubinetto lavanderia,L906773,RUBINETTO LAVATRICE SFERA MINIMAL,12.88,10.5955
3922,2019-01-08,000095C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,F09RS2026,FLESSIBILE x CASS. INC. COES MOD.98,18.61,14.95
3923,2019-01-08,000096C,2.0,    ,Condizionamento,Climatizzazione,Accessori Climatizzatori,PISC35,PILETTA 32 X SCARIC. CONDENS.,5.76,4.4762
3924,2019-01-08,000097C,1.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Cartuccia Distanziatore,GR46048,CARTUCCIA x INC. VASCA-DOCCIA GROHE,30.47,25.553
3925,2019-01-08,000098C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,CP,CASSETTA ALTA SCARICO C/BATT.+ POOL,8.61,7.44
3926,2019-01-08,000099C,1.0,    ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Accessori per Serbatoi,VSA,VALV.SICUR.3/8 ICMA,8.34,6.86
3927,2019-01-08,000100C,10.0,    ,Ferramenta e Hobbistica,Elementi di Fissaggio,Fissaggio Sanitari,SLS,STAFFA x LAVABO SOTTOPIANO,9.0,7.8
3928,2019-01-08,000101C,1.0,    ,Ferramenta e Hobbistica,Utensileria,Utensili per Misurare,BET17050025,FLACONE POLVERE ROSSA X TRACCIAL.,6.08,5.0
3929,2019-01-08,000102C,1.0,    ,Sanitari e Arredo Bagno,Radiatori,Scaldasalviette,METALRIT11945,RADIATORE H.1200*45 INT.40 B/CO,27.72,23.9416
3930,2019-01-08,000102C,1.0,    ,Valvolame e Raccorderia,Valvolame,Valvola a Squadra,10012ST,VALVOLA SQ. ATT.RAME 1/2 AC S/KIT,4.84,4.1783
3931,2019-01-08,000102C,1.0,    ,Valvolame e Raccorderia,Valvolame,Detentore a Squadro,11012ST,DETENTORE SQ. ATT.RAME 1/2 S/KIT AC,4.49,3.8828
3932,2019-01-08,000103C,1.0,    ,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Lavatoio,021524,PILOZZO DA MURO IN RESINA CM 60X40,20.51,16.88
3933,2019-01-08,000104C,1.0,    ,Riscaldamento,Canne Fumarie,Canna Fumaria,TPCFS80,TERMINALE PELLET INOX MPAR 80,13.01,10.7
3934,2019-01-08,000105C,1.0,    ,Rubinetteria ed Accessori,Rubinetteria,Miscelatore Bidet,K300,MONOC. BIDET K CR. 11360,27.7,23.52
3935,2019-01-09,000106C,2.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Piletta,PDA90CS,PIL.DOCCIA ABS USC.40 C/SNODO 90,18.86,11.55
3936,2019-01-09,000107C,1.0,    ,Condizionamento,Climatizzazione,Accessori Climatizzatori,PISC35,PILETTA 32 X SCARIC. CONDENS.,2.88,2.2381
3937,2019-01-09,000108C,2.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Aeratore,02328090,AERATORE RETTANGOLARE 32X8,18.5,13.6986
3938,2019-01-09,000109C,1.0,    ,Sanitari e Arredo Bagno,Accessori Bagno,Portasalviette,GEDYPI2160,P.SALVIETTE CM. 60 G.PIRENEI CROM.,25.7,21.141
3939,2019-01-09,000109C,1.0,    ,Sanitari e Arredo Bagno,Accessori Bagno,Appendino,GEDYPI27,APPEND. SING. G.PIRENEI CR. 2PZ,8.86,7.29
3940,2019-01-09,000109C,1.0,    ,Sanitari e Arredo Bagno,Accessori Bagno,Portarotolo,GEDYPI24,P.ROTOLO G.PIRENEI CR. CART/APP.,11.52,9.48
3941,2019-01-09,000109C,1.0,    ,Sanitari e Arredo Bagno,Accessori Bagno,Portasalviette,GEDYPI2135,P.SALVIETTE CM. 35 G.PIRENEI CROM.,19.2,15.8
3942,2019-01-09,000110C,1.0,    ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Accessori per Serbatoi,109690170,KIT INDICAT. LIVELLO PN10 x AUTOCL.,39.09,28.5067
3943,2019-01-09,000111C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,3.01TO,GALLEGGIANTE 3/8 FLUID.BASSO AT/OT.,11.46,9.43
3944,2019-01-09,000112C,1.0,    ,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Porta Doccia,GIOVE100,PORTA LIBRO ANTIPANICO 100 CM  6MM,135.65,93.0
3945,2019-01-09,000113C,1.0,    ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Idrosfere e Accessori,ICOM300,IDROSFERA LT.300 C/MEM.VERN.VRT OMO,222.24,191.976
3946,2019-01-09,000114C,1.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Colonna Scarico Vasca,BO69750CK15S7,COLONNA SCARICO X VASCA IN MURATURA,52.08,42.85
3947,2019-01-09,000115C,1.0,    ,Riscaldamento,Cucina Legna-Termocamini,Termocamino,QCD,QUADRETTO ELETTR.X CONTR.TERMOCAM.,34.28,29.6125
3948,2019-01-09,000116C,1.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Aeratore,02328290,AERATORE RETTANGOLARE 24X6,7.11,5.2673
3949,2019-01-09,000117C,1.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Sifone e Tubo in abs,LI9128501,SIFONE SPAZIO 2 NT BIANCO BOX LIRA,13.69,11.18
3950,2019-01-09,000118C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Coprivaso,SACWSINTESI,COPRIV. SINTESI  ANTICATO,17.31,14.95
3951,2019-01-09,000119C,1.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Morsetti e Guarnizioni,BO8429LX10B0,MANICOTTO ECC. WC BIPOWER 60 MM,3.52,2.9
3952,2019-01-09,000120C,1.0,    ,Sanitari e Arredo Bagno,Radiatori,Radiatori Alluminio,KALDO80,RDT ALL.KALDO 800/100 9010,8.37,6.9686
3953,2019-01-09,000005F,1.0,    ,Sanitari e Arredo Bagno,Accessori Bagno,Portarotolo,GEDY3824,P.ROTOLO KANSAS CROM. GEDY,11.54,9.96
3954,2019-01-09,000005F,1.0,    ,Sanitari e Arredo Bagno,Accessori Bagno,Portasapone,GEDY3881,DOSASAPONE MET/CR. KANSAS,20.26,14.58
3955,2019-01-09,000005F,1.0,    ,Sanitari e Arredo Bagno,Accessori Bagno,Portasalviette,GEDY3870,P.SALVIETTE AD ANELLO KANSAS,16.6,14.34
3956,2019-01-09,000005F,1.0,    ,Sanitari e Arredo Bagno,Accessori Bagno,Portaspazzolino,GEDY3810,P.BICCHIERE KANSAS CROMO,14.07,10.125
3957,2019-01-09,000005F,1.0,    ,Sanitari e Arredo Bagno,Accessori Bagno,Appendino,GEDY3826,APPENDIABITO DOPPIO KANSAS CROMO,7.03,6.075
3958,2019-01-09,000005F,1.0,    ,Sanitari e Arredo Bagno,Accessori Bagno,Mensola da Bagno,GEDY691960,MENSOLA CM.60 COLORADO VETRO TEMP.,21.33,18.42
3959,2019-01-09,000006F,1.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Aeratore,02328090,AERATORE RETTANGOLARE 32X8,8.33,6.8493
3960,2019-01-09,000006F,1.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Aeratore,NEOPCACHE18,AERATORE CACHE''PERLAT.MOD.TT 16 5X1,1.82,1.5
3961,2019-01-09,000006F,1.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Aeratore,01458097,CHIAVE NIKEL X CACHE 22-24-28-18,6.75,5.5496
3962,2019-01-10,000121C,1.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Piletta Lavello,LI1745040,PILETTA BASKET x LAVELLO LIRA C/TP,17.1,14.775
3963,2019-01-10,000121C,2.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Piletta Lavello,LI1945040,PILETTA BASKET x LAVELLO LIRA STP,25.42,21.96
3964,2019-01-10,000122C,1.0,    ,Sanitari e Arredo Bagno,Accessori Bagno,Piantana-Portascopino,GEDYPI3303,P.SCOPINO A MURO G.PIRENEI CR.CA/AP,20.38,16.767
3965,2019-01-10,000122C,1.0,    ,Sanitari e Arredo Bagno,Accessori Bagno,Portarotolo,GEDYPI24,P.ROTOLO G.PIRENEI CR. CART/APP.,11.52,9.48
3966,2019-01-10,000122C,1.0,    ,Sanitari e Arredo Bagno,Accessori Bagno,Portaspazzolino,GEDYPI10,P.BICCHIERE G.PIRENEI CR.CART/APP.,12.7,8.7075
3967,2019-01-10,000122C,1.0,    ,Sanitari e Arredo Bagno,Accessori Bagno,Portasapone,GEDYPI81,DOSASAP.POM/CR.PIRENEI CROMO APP.,15.95,12.83
3968,2019-01-10,000123C,1.0,    ,Riscaldamento,Caldaie,Accessori Sistemi Fumari,KIT4-P,KIT COASS.60/100 T/VAILLANT/ARIST.,18.51,15.99
3969,2019-01-10,000124C,1.0,    ,Rubinetteria ed Accessori,Rubinetteria,Gruppo lavello parete,356ATA,GRUPPO LAVELLO A PAR. C/CANNA SOPRA,20.81,17.9807
3970,2019-01-10,000125C,1.0,    ,Riscaldamento,Caldaie,Termoconvettori,GDIT301CL2,GAZELLE TECHNO CLAS. 3000 MET O.G.,424.71,381.26
3971,2019-01-10,000126C,2.0,    ,Sanitari e Arredo Bagno,Sanitari,Placca di Comando,GR37859,PLACCA DUAL FLUSH CROMATA,108.48,90.98
3972,2019-01-10,000127C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Coprivaso,SACWUNI,COPRIV. UNIVERSALE ANTICATO,17.31,14.95
3973,2019-01-10,000128C,1.0,    ,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Sottolavello,SBI120,SOTTOLAVELLO Cm.120 B.CO FRAS. INOX,59.9,44.4
3974,2019-01-10,000129C,1.0,    ,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Soffione Doccia,JTA-95C,SOFFIONE  APOLLO 60 JETS CROMATO,4.71,3.88
3975,2019-01-10,000130C,1.0,    ,Elettropompe e Serbatoi,Elettropompe ed Accessori,Accessori Elettropompe,CROCIERA,TEE A 5 VIE PER AUTOCLAVE,3.58,2.4
3976,2019-01-10,000130C,1.0,    ,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Filtro Acqua e Accessori,FA3/4,FILTRO AUTOPULENTE F 3/4 - M 1'',24.61,21.2625
3977,2019-01-10,000130C,1.0,    ,Elettropompe e Serbatoi,Elettropompe ed Accessori,Elettropompe,3CPM80-C,E.POMPA 3CPM80-C HP 0 6 220V,81.15,64.0
3978,2019-01-10,000130C,1.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Batteria Cassetta Wc,UNIBOX,BATTERIA DI SCARICO WC UNIBOX ITS,29.01,25.3
3979,2019-01-10,000130C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,SFERAC,SFERA PER GALLEGGIANTE CATIS,0.23,0.1948
3980,2019-01-10,000130C,1.0,    ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Idrosfere e Accessori,IC24,IDROSFERA LT.24 C/MEM. VERN. EXP.,10.79,9.3184
3981,2019-01-10,000130C,1.0,    ,Elettropompe e Serbatoi,Elettropompe ed Accessori,Accessori Elettropompe,PRESSOS,PRESSOSTATO SQUARE D FSG-2,5.86,5.06
3982,2019-01-10,000130C,1.0,    ,Riscaldamento,Componenti termici,Accessori Termici,MANOMETRO,MANOMETRO M1-ABS 010 BAR ATT.1/4,1.96,1.7
3983,2019-01-10,000131C,3.0,    ,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Dosatore e Accessori,90010135,CHIAVE FERRO X DOSAMAX BLU,4.56,5.85
3984,2019-01-10,000131C,3.0,    ,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Dosatore e Accessori,DOSAMAX,DOSATORE DOSAMAX C/STOP F.F.1/2  AQ,61.86,50.8875
3985,2019-01-10,000132C,3.0,    ,Sanitari e Arredo Bagno,Radiatori,Radiatori Alluminio,KALDO60,RDT ALL.KALDO 600/100 9010,21.0,17.4786
3986,2019-01-10,000008F,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Coprivaso,CWVERSO,SEDILE FANTASIA/VERSO CER.INOX H057,25.08,16.12
3987,2019-01-10,000007F,20.0,    ,Sanitari e Arredo Bagno,Sanitari,Accessori Sanitari,BORC24,BORCHIA CROM. X TR/PIENO 24,4.4,3.6
3988,2019-01-11,000133C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,CR1034,CASSETTA EXPORT S/RUB.,9.67,8.349
3989,2019-01-11,000134C,15.0,    ,Ferramenta e Hobbistica,Works,Abbigliamento da Lavoro,10134XL,TUTA POLIP.P.30GR/M2 TG.XL DPI 1C,15.6,13.455
3990,2019-01-11,000135C,1.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Morsetti e Guarnizioni,MGS,MORSETTO IDEAL STANDARD,1.23,0.96
3991,2019-01-11,000136C,1.0,    ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Bollitori e Accessori,5200000041003,ANODO MAGN.32x520 ATT.TAPPO 11/4,23.69,19.59
3992,2019-01-11,000137C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Sanitari,SVEDAS,LAVABO SEMINCASSO B/co,80.44,68.78
3993,2019-01-11,000138C,1.0,    ,Sanitari e Arredo Bagno,Radiatori,Accessori Radiatori,PK246001,P.SALVIETTE B/CO CM 42 X RDT ALLUM.,10.5,9.072
3994,2019-01-11,000139C,4.0,    ,Condizionamento,Climatizzazione,Accessori Climatizzatori,PISC19,PILETTA 19 X SCARIC. CONDENS.,11.2,8.7188
3995,2019-01-11,000140C,1.0,    ,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Sottolavello,SBI100,SOTTOLAVELLO Cm.100 B/co INOX,49.84,41.004
3996,2019-01-11,000141C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,GR42320,VALVOLA DI SCARICO AV1,20.76,15.15
3997,2019-01-11,000142C,19.0,    ,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Filtro Acqua e Accessori,CFP,CARTUCCIA MIGNON FA SX - 25 mcrs,25.84,21.28
3998,2019-01-11,000142C,15.0,    ,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Filtro Acqua e Accessori,CFG,CARTUCCIA SENIOR FA 10 SX - 20 mcrs,20.4,16.8
3999,2019-01-11,000143C,1.0,    ,Rubinetteria ed Accessori,Rubinetteria,Rubinetto Orinatoio,PB080,SPARGIACQUE VASO TURCA PB,8.14,7.0325
4000,2019-01-11,000144C,4.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,1.09,MEMBRANA SOLLEV. x BATT.UNIBOX ITS,3.12,2.3712
4001,2019-01-11,000145C,1.0,    ,Ferramenta e Hobbistica,Utensileria,Cannello e Accessori,PINCE4556,LANCE CERCOFLAM PER TUBO 42,17.58,14.4597
4002,2019-01-11,000146C,3.0,    ,Condizionamento,Climatizzazione,Accessori Climatizzatori,PISC35,PILETTA 32 X SCARIC. CONDENS.,8.64,6.7143
4003,2019-01-11,000147C,1.0,    ,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Sottolavello,SBI120,SOTTOLAVELLO Cm.120 B.CO FRAS. INOX,59.9,44.4
4004,2019-01-14,000009F,10.0,OYTB,Elettropompe e Serbatoi,Elettropompe ed Accessori,Accessori Elettropompe,DUC50/450,CONDEN.450V 50 MF C/FASTON,41.0,33.728
4005,2019-01-14,000010F,10.0,OMAN,Giardino,Piscina e Accessori,Accessori Nuoto,32096,SALVAGENTE MUTANDINA ROTONDO CM69,30.2,24.882
4006,2019-01-14,000000A,-2.0,OMAN,Riscaldamento,Componenti termici,Rilevatore Fuga Gas,GS1-METINC,RILEVATORE FUGA GAS MET. DA INCASSO,128.33,-110.8558
4007,2019-01-14,000000A,-1.0,OAMZ,Sanitari e Arredo Bagno,Radiatori,Scaldasalviette,METALKA142*55,RADIATORE H.1430*550 INT.50 CROMO,114.09,-83.81
4008,2019-01-14,000000A,-1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Trituratori Wc,SANIPACK3,SANIPACK SCARICO BAG/COMPLETO INC.,490.56,-379.2181
4009,2019-01-14,000151C,3.0,OYTB,Riscaldamento,Caldaie,Accessori Sistemi Fumari,S08PIFFB,SDOPP.MONOB.ALL.C/ISP.80 F/F 10091,44.32,40.2975
4010,2019-01-14,000151C,1.0,OYTB,Riscaldamento,Caldaie,Accessori Sistemi Fumari,CAP9008B,CURVA 90 ALL.PRESS.M.F.D.80 R40 BCO,2.78,2.54
4011,2019-01-14,000151C,1.0,OYTB,Riscaldamento,Caldaie,Accessori Sistemi Fumari,CCP45MFB,CURVA COASSIALE 45 60/100 B.CA,9.11,8.281
4012,2019-01-14,000151C,1.0,OYTB,Riscaldamento,Caldaie,Accessori Sistemi Fumari,TAL85MFB,TUBO ALL.ESTRUSO MT 0 5 80 B.CO,3.22,2.93
4013,2019-01-14,000151C,1.0,OYTB,Riscaldamento,Caldaie,Accessori Sistemi Fumari,TERM08I,TERMINALE SC.FUMI 80 ORIZ. INOX,1.99,1.81
4014,2019-01-14,000151C,4.0,OYTB,Valvolame e Raccorderia,Raccorderia Multistrato,Adattatore Multistrato,163516,DADO+OGIVA+INSERTO 1/2 X 16,3.19,2.902
4015,2019-01-14,000151C,1.0,OYTB,Riscaldamento,Caldaie,Accessori Caldaia,6431/220,CURVETTA RAME 14x50x200 C/P.+D.1/2,2.67,2.3103
4016,2019-01-14,000152C,1.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Piatti Doccia,ITO80*100,PIATTO DOCCIA 80*100 H6,90.45,76.72
4017,2019-01-14,000152C,1.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Piletta,PDA50CT120,PIL.DOCCIA ABS USC.4O C/TAPPO D.110,7.43,6.3
4018,2019-01-14,000011F,1.0,OYTB,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Box Doccia a Soffietto,KAPPA75/90,BOX DOCCIA KAPPA 75/90  B.CO,77.02,66.54
4019,2019-01-14,000153C,1.0,OYTB,Riscaldamento,Caldaie,Termoconvettori,GDIT501CL2,GAZELLE TECHNO CLAS. 5000 MET O.G.,447.03,401.3016
4020,2019-01-14,000154C,3.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80003130,GUARN.DI FONDO IN PARA,2.04,1.4031
4021,2019-01-14,000155C,1.0,OMAN,Elettropompe e Serbatoi,Serbatoi e Bollitori,Idrosfere e Accessori,ICOM500,IDROSFERA LT.500 C/MEM.VERN.VRT OMO,373.97,323.052
4022,2019-01-14,000156C,1.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80009095,SEDE ESTRAIBILE  E GUARNIZ.C/OR 161,4.38,3.78
4023,2019-01-14,000157C,2.0,OAMZ,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Idroscopino,BOE570108,IDROSCOP.IN ABS PALOMA 80 CM C/ARR.,93.14,71.2
4024,2019-01-14,000158C,1.0,OMAN,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Lavatoio,SENNAB,LAVATOIO NITIDA L60*P50 BCO S/SPON.,88.31,58.1229
4025,2019-01-14,000159C,1.0,OAMZ,Giardino,Piscina e Accessori,Materassino Floccato,67401,MATERASS. FLOCCATO SING. CM191*97,26.04,19.48
4026,2019-01-14,000160C,1.0,OAMZ,Giardino,Piscina e Accessori,Materassino Floccato,67401,MATERASS. FLOCCATO SING. CM191*97,26.04,19.48
4027,2019-01-14,000161C,1.0,OAMZ,Condizionamento,Climatizzazione,Accessori Climatizzatori,PISC19,PILETTA 19 X SCARIC. CONDENS.,2.8,2.1797
4028,2019-01-14,000162C,1.0,OMAN,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Box sopravasca soffietto,DELTA70/170/7,BOX VASCA DELTA 70x170x70 B.CO FO,130.77,112.9639
4029,2019-01-14,000163C,1.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Sifone per Scarico,SG1105,SIFONE A S 1  S/PIL.AT/LAT.TUBO 25,5.19,3.9
4030,2019-01-14,000164C,1.0,OYTB,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Presa Acqua,PAOV,PRESA D''ACQUA LUSSO OTTONE,3.98,3.4414
4031,2019-01-14,000165C,1.0,OMAN,Rubinetteria ed Accessori,Accessori Rubinetteria,Cartuccia Distanziatore,LESCART,CARTUCCIA X LEVEL 25,12.34,10.6605
4032,2019-01-14,000166C,4.0,OMAN,Ferramenta e Hobbistica,Works,Cemento e Stucco,CEMENTOB5KG,CEMENTO BIANCO 5KG,7.84,5.2
4033,2019-01-14,000167C,2.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80005529,TELAIO x PLACCA ECO/SARA C/VITI PUC,14.04,10.54
4034,2019-01-14,000168C,1.0,OAMZ,Rubinetteria ed Accessori,Sistemi Di Scarico,Sifone e Tubo in abs,LI9128501,SIFONE SPAZIO 2 NT BIANCO BOX LIRA,14.62,11.18
4035,2019-01-14,000169C,2.0,OMAN,Sanitari e Arredo Bagno,Accessori Bagno,Portasalviette,GEDY692135,P.SALVIETTE CM.35 COLORADO,33.64,29.06
4036,2019-01-14,000170C,2.0,OMAN,Elettropompe e Serbatoi,Elettropompe ed Accessori,Circolatore Elettronico,UPS2,CIRCOLATORE UPS2 25-40/60 ATT.G11/2,146.88,146.88
4037,2019-01-14,000171C,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Coprivaso,SACWSINTESI,COPRIV. SINTESI  ANTICATO,17.31,14.95
4038,2019-01-14,000172C,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80006261,GRUPPO COMPL.SFERA C/ASTINA PUCCI,5.87,5.07
4039,2019-01-14,000173C,4.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Riduzione Sifone,022417,VITI X PILETTA BASKET TIPO LUNGO,2.36,1.96
4040,2019-01-14,000174C,1.0,OAMZ,Giardino,Piscina e Accessori,Materassino Floccato,67401,MATERASS. FLOCCATO SING. CM191*97,26.04,19.4766
4041,2019-01-14,000175C,1.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Placca di Comando,1742274,PLACCA COMPLETA BLITZ T.NUOVO,9.68,8.61
4042,2019-01-14,000176C,1.0,OAMZ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Idrosfere e Accessori,IC24,IDROSFERA LT.24 C/MEM. VERN. EXP.,12.19,9.3184
4043,2019-01-14,000177C,1.0,OAMZ,Ferramenta e Hobbistica,Utensileria,Pinza,BET16030010,PINZA  X CAPICORDA NON ISOL. APERTI,31.18,22.695
4044,2019-01-14,000178C,1.0,OAMZ,Condizionamento,Climatizzazione,Accessori Climatizzatori,PISC35,PILETTA 32 X SCARIC. CONDENS.,2.88,2.2381
4045,2019-01-14,000179C,1.0,OMAN,Elettropompe e Serbatoi,Elettropompe ed Accessori,Regolatore di Pressione,SCHEDA2,SCHEDA x PRESS CONTROLL 1 PEDROLLO,22.23,19.1993
4046,2019-01-14,000180C,2.0,OAMZ,Rubinetteria ed Accessori,Accessori Rubinetteria,Aeratore,02328090,AERATORE RETTANGOLARE 32X8,18.5,13.6986
4047,2019-01-15,000181C,1.0,OAMZ,Giardino,Piscina e Accessori,Materassino Floccato,67401,MATERASS. FLOCCATO SING. CM191*97,26.04,19.4766
4048,2019-01-15,000182C,1.0,OMAN,Rubinetteria ed Accessori,Rubinetteria,Rubinetto Snodo,PB002,GRUPPO SCALDINO ECONOMICO PB,22.18,19.1575
4049,2019-01-15,000183C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80009115,PISTONCINO + GUARNIZIONE A LABBRO,0.99,0.74
4050,2019-01-15,000184C,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Accessori Sanitari,BP20A,ASTA SANIBORD ADESIVO mm.2700,10.17,8.3708
4051,2019-01-15,000184C,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Accessori Sanitari,BPT20,ANGOLI INT.DX/SX X ASTA,3.71,3.0527
4052,2019-01-15,000185C,1.0,OYTB,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Porta Doccia,GIOVE70,PORTA LIBRO ANTIPANICO 70 CM  6MM,119.61,103.32
4053,2019-01-15,000185C,1.0,OYTB,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Saliscendi,GR27598,SALIS.TEMPESTA II S/P.SAP.GROHE,32.92,27.0833
4054,2019-01-15,000185C,1.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,CR1030S2,CASSETTA PLUS 2,14.19,12.26
4055,2019-01-15,000185C,1.0,OYTB,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Presa Acqua,PAOV,PRESA D''ACQUA LUSSO OTTONE,3.98,3.4414
4056,2019-01-15,000186C,1.0,OAMZ,Condizionamento,Climatizzazione,Accessori Climatizzatori,9899029,VASCH.ORIZ.DOPPIO SCARICO VECAM,2.93,2.28
4057,2019-01-15,000187C,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,GALL3/4BR,RUBINETTO GALL.3/4 SIL.REG. S.INOX,10.3,8.48
4058,2019-01-15,000012F,2.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80130911,SPORTELLO X ECO NEW,33.0,28.51
4059,2019-01-15,000013F,2.0,OMAN,Sanitari e Arredo Bagno,Accessori Bagno,Piantana-Portascopino,GEDYHI32,PIANTANA P/ROTOLO/SCOPINO HIBISCUS,51.3,44.3
4060,2019-01-15,000189C,1.0,OYTB,Condizionamento,Climatizzazione,Accessori Climatizzatori,OLIB0658,COMANDO ELETTRCO SELETTORE VELOCITA,30.64,27.27
4061,2019-01-15,000014F,90.0,OMAN,Elettropompe e Serbatoi,Contatori Acqua,Contatori e Accessori,DBRF1/2,CONTAT. ACQUA LET.DIR. DBRF 13-1/2,964.8,833.49
4062,2019-01-15,000190C,2.0,OMAN,Condizionamento,Ventilazione e Aerazione,Griglia-Aspiratore,975104201,GRIGLIA 190X190 150 C/RETE.FIS.ABS,4.52,3.9
4063,2019-01-15,000191C,1.0,OAMZ,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Sottolavello,SBI120,SOTTOLAVELLO Cm.120 B.CO FRAS. INOX,59.9,44.4
4064,2019-01-15,000192C,1.0,OAMZ,Riscaldamento,Caldaie,Accessori Sistemi Fumari,PC50C60/100,PROL.COASS.60/100 MT.0 5 X CONDENS.,10.22,7.504
4065,2019-01-15,000193C,1.0,OMAN,Riscaldamento,Componenti termici,Termostato,TERMC,TERMOSTATO CONTATTO,10.03,8.6623
4066,2019-01-15,000194C,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Sanitari,SVEDAS,LAVABO SEMINCASSO B/co,80.44,68.78
4067,2019-01-15,000195C,2.0,OMAN,Rubinetteria ed Accessori,Accessori Rubinetteria,Distanziatore per Vasca,DIST4,DISTANZIATORE ECC. 1/2x3/4 CM.4 PB,6.74,5.82
4068,2019-01-15,000196C,1.0,OMAN,Rubinetteria ed Accessori,Rubinetteria,Rubinetto Snodo,PB002,GRUPPO SCALDINO ECONOMICO PB,22.18,19.1575
